c_name,m_name,t_name,init_method,epsilon,pc_name,date,m,n,k,iteration,exec_time,qr_time,manip_time,bw_time,obj_fun,U_norm,V_norm
pretest,vegeta,2_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:14:41,735,735,2,6,0.1148052215576165,0.0013909339904785,0.11341428756713799,0.0,22352.11819608604,168.3536184670058,766.988593913998
pretest,vegeta,2_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:07,735,735,2,6,0.17183589935302662,0.0,0.17183589935302662,0.0,22352.11819906869,19.949004416493064,4323.2616571135
pretest,vegeta,2_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:20,735,735,2,7,0.17400383949279705,0.00231981277465805,0.16879725456237732,0.0028867721557617,22352.11819806071,16.461641572963448,5865.916847997095
pretest,vegeta,2_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:22,735,735,2,8,0.163331747055053,0.0009987354278564,0.1622285842895502,0.0001044273376464,22352.118197042066,3691.678791931779,23.475191738518767
pretest,vegeta,2_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:36,735,735,2,6,0.11938548088073658,0.001000165939331,0.11838531494140558,0.0,22352.11819570316,202.5545371683669,454.88722869873305
pretest,vegeta,2_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:29,735,735,2,6,0.15566301345825118,0.0035703182220457,0.15109205245971627,0.0010006427764892,22352.11819810561,245.68988052519308,356.5333767425658
pretest,vegeta,50_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:17:14,735,735,50,133,62.725652217864976,1.2680611610412496,60.73832607269287,0.7192649841308508,4361.818282250233,652.8703398697907,942.7688927646136
pretest,vegeta,50_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:15:10,735,735,50,99,45.24736714363097,0.8470892906188887,43.864051818847656,0.5362260341644223,4361.818277005231,1258.890281712861,558.4675580165205
pretest,vegeta,50_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:35,735,735,50,214,97.42941188812253,1.8875238895416122,94.30406427383423,1.237823724746691,4361.818285583192,513.867788395498,1276.8017144535718
pretest,vegeta,50_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:46,735,735,50,96,44.18262934684752,0.8459866046905438,42.77341413497925,0.563228607177727,4361.818244626709,384.76970441374544,1328.0148320824894
pretest,vegeta,50_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:51,735,735,50,87,40.09569621086119,0.7994930744171082,38.885592222213745,0.4106109142303414,4361.81827015446,16500.36982135406,34.26208631869469
pretest,vegeta,50_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:54,735,735,50,148,65.99836611747739,1.6238656044006228,63.557047843933105,0.8174526691436679,4361.818264473942,1028.5571123882944,711.3974526418192
pretest,vegeta,50_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:56,735,735,50,56,25.415019273757924,0.48043274879455017,24.5941264629364,0.3404600620269724,4361.8180232411205,821.0557952340012,712.2783132984771
pretest,vegeta,5_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:16:54,735,735,5,16,0.8053290843963606,0.0171961784362792,0.7715008258819566,0.0166320800781249,16289.43337069682,196.66415096130703,728.9877557155578
pretest,vegeta,5_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:14:41,735,735,5,19,0.9726798534393284,0.0245444774627681,0.9401242733001691,0.0080111026763912,16289.433378844022,244.6486599332231,647.0301931018624
pretest,vegeta,5_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:07,735,735,5,16,0.9067659378051741,0.0296323299407958,0.8771336078643783,0.0,16289.433356117584,48.03795475032916,3108.172796002551
pretest,vegeta,5_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:20,735,735,5,15,0.7962231636047338,0.013473510742187101,0.7738895416259748,0.008860111236571986,16289.43335264671,41.19807785871615,3118.0333742684
pretest,vegeta,5_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:22,735,735,5,16,0.7603940963745099,0.0009996891021728,0.7573952674865706,0.0019991397857665,16289.433354915784,7961.758541921413,23.78680620576517
pretest,vegeta,5_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:36,735,735,5,15,0.6907773017883286,0.0024707317352294,0.6875085830688463,0.0007979869842529,16289.433382179866,319.9916096198476,417.6541963217881
pretest,vegeta,5_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:29,735,735,5,16,0.8439679145812967,0.009763717651367038,0.8297846317291242,0.0044195652008054,16289.433373826698,350.9135973477322,414.397065090033
